"","x"
"1",1
"2",0
"3",1
"4",0
"5",0
"6",0
"7",0
"8",0
"9",1
"10",0
"11",0
"12",1
"13",0
"14",0
"15",1
"16",0
"17",0.651141552511416
"18",1
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",1
"26",1
"27",1
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",1
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",1
"50",0
"51",1
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0.558704453441296
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",1
"69",0
"70",0
"71",1
"72",1
"73",0
"74",1
"75",0
"76",0
"77",1
"78",0
"79",0.66360153256705
"80",0
"81",1
"82",0
"83",0
"84",1
"85",0
"86",0
"87",0.414545454545455
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0.555112881806109
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",1
"104",1
"105",0
"106",0
"107",0
"108",1
"109",0.382947976878613
"110",1
"111",0
"112",0
"113",1
"114",0
"115",1
"116",0.605263157894737
"117",1
"118",1
"119",0.647421093148576
"120",1
"121",1
"122",1
"123",0
"124",1
"125",0.636042402826855
"126",1
"127",0.458333333333333
"128",1
"129",0.680150517403575
"130",1
"131",0.444130127298444
"132",1
"133",1
"134",1
"135",0.430440771349862
"136",1
"137",0.356152512998267
"138",1
"139",1
"140",0
"141",0.618502202643171
"142",1
"143",1
"144",1
"145",0
"146",0
"147",0
"148",1
"149",1
"150",0
"151",1
"152",1
"153",1
"154",0
"155",0
"156",1
"157",1
"158",0
"159",1
"160",1
"161",1
"162",1
"163",0
"164",0.365335598980459
"165",1
"166",1
"167",1
"168",1
"169",1
"170",0
"171",1
"172",1
"173",0
"174",1
"175",0.881427072402938
"176",1
"177",1
"178",1
"179",1
"180",1
"181",1
"182",1
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",1
"191",0
"192",1
"193",0
"194",1
"195",0
"196",1
"197",1
"198",1
"199",0
"200",1
"201",0
"202",0.681012658227848
"203",1
"204",0.385860306643952
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",0
"212",1
"213",1
"214",1
"215",1
"216",0
"217",1
"218",0
"219",0
"220",0
"221",0
"222",1
"223",0.417309340188518
"224",1
"225",0
"226",1
"227",1
"228",1
"229",1
"230",0.621329211746523
"231",0
"232",1
"233",1
"234",1
"235",1
"236",1
"237",1
"238",1
"239",1
"240",0.388389771941949
"241",1
"242",0.375
"243",1
"244",0
"245",0.591205211726384
"246",1
"247",0
"248",1
"249",1
"250",0
"251",1
"252",1
"253",1
"254",1
"255",1
"256",1
"257",1
"258",0.388342165026495
"259",0
"260",1
"261",0.581771170006464
"262",0
"263",0
"264",0.370848708487085
"265",1
"266",1
"267",0
"268",0
"269",1
"270",1
"271",0.682102628285357
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0.437142857142857
"278",1
"279",0.420028818443804
"280",0
"281",1
"282",0
"283",0
"284",0
"285",0
"286",0
"287",1
"288",0
"289",0
"290",0
"291",0
"292",0
"293",1
"294",0
"295",0.560157790927021
"296",0
"297",1
"298",0.611208406304729
"299",0.445010924981792
"300",0
"301",0
"302",0
"303",1
"304",0
"305",0.4515625
"306",0.601769911504425
